ORA-00000    성공적인 정상 종료입니다.
ORA-08436 raw 데이타에 부적당한 부호 디지트가 있습니다.
ORA-08437 픽처 마스크에 부적당한 픽처 유형이 있습니다.
ORA-08440 raw 버퍼는 변환된 데이타를 보관하기에 너무 작습니다.
ORA-08441 픽처 마스크에 닫기 괄호가 누락되었습니다.
ORA-08443 마스크 옵션의 BLANK WHEN ZERO 절에 구문 오류입니다.
ORA-08444 마스크 옵션의 JUSTIFIED 절에 구문 오류입니다.
ORA-08445 마스크 옵션의 SIGN 절에 구문 오류입니다.
ORA-08446 마스크 옵션의 SYNCHRONIZED 절에 구문 오류입니다.
ORA-08447 마스크 옵션의 USAGE 절에 구문 오류입니다.
ORA-08448 DECIMAL-POINT 환경 절에 구문 오류
ORA-08449 픽처 마스크에 부적당한 숫자 기호가 있습니다.
ORA-08450 픽처 마스크의 CR 지정이 부적당합니다.
ORA-08451 픽처 마스크의 DB 지정이 부적당합니다.
ORA-08452 픽처 마스크의 E 명세가 지원되지 않습니다.
ORA-08453 픽처 마스크에 하나 이상의 V 기호가 지정되었습니다.
ORA-08454 픽처 마스크에 하나 이상의 S 기호가 지정되었습니다.
ORA-08455 CURRENCY SIGN 환경 절에 구문 오류
ORA-08456 픽처 마스크에는 부호가 없지만 마스크 옵션에 SIGN 절이 있습니다.
ORA-08457 SIGN 절의 SEPARATE CHARACTER 옵션에 구문 오류입니다.
ORA-08458 부적당한 포맷 파라미터
ORA-08459 부적당한 포맷 파라미터 길이
ORA-08460 환경 파라미터에 부적당한 환경 절
ORA-08462 raw 버퍼에 부적당한 데이타가 있습니다.
ORA-08463 십진수를 Oracle 수로 변환하는데 오버플로우가 발생했습니다.
ORA-08464 입력 raw 데이타가 42 자리수 이상을 포함하고 있습니다.
ORA-08465 입력 마스크는 32 문자보다 많이 포함하고 있습니다.
ORA-08466 raw 버퍼 길이 %s는 %s에 대해 너무 짧습니다.
ORA-08467 오라클 번호 %s로 변환하는데 오류가 있습니다.
ORA-08468 마스크 옵션 %s는 지원되지 않습니다.
ORA-08498 경고:픽처 마스크 %s는 옵션 USAGE IS %s를 무시하고 USAGE IS DISPLAY로 간주합니다.
ORA-08499 경고: UTL_PG에 의해 픽처 마스크 옵션 %s가 무시되었습니다 
ORA-09700 sclin: 최대 대치수에 도달했습니다.
ORA-09701 scnfy: 최대 프로세스수를 초과했습니다.
ORA-09702 sem_acquire: 래치 세마포를 확보할 수 없습니다.
ORA-09703 sem_release: 래치 세마포를 해제할 수 없습니다.
ORA-09704 sstascre: 테스트와 세트 페이지의 생성시 ftok 오류
ORA-09705 spcre: 래치 세마포를 초기화할 수 없습니다.
ORA-09706 slsget: get_process_stats 오류
ORA-09707 sfccf: ORACLE_SID의 최대길이를 초과했습니다.
ORA-09708 soacon: 소켓을 포트로 바인드하는데 실패했습니다.
ORA-09709 soacon: 연결을 받아들이는데 실패했습니다.
ORA-09710 soarcv: 버퍼 오버플로우
ORA-09711 orasrv: archmon이 이미 연결되었습니다.
ORA-09712 orasrv: 로그 아카이버가 이미 연결되었습니다.
ORA-09713 soadum: 테이프로 로그를 아카이브할 수 없습니다.
ORA-09714 Two Task interface: puname을 획득할 수 없습니다.
ORA-09715 orasrv: puname을 획득할 수 없습니다.
ORA-09716 kslcll: 인-플럭스 램포트 래치를 고정할 수 없습니다.
ORA-09717 osnsui: 사용자 인터럽트 처리기의 최대수를 초과했습니다.
ORA-09718 osnsui: 사용자 인터럽트 처리기를 설정할 수 없습니다.
ORA-09719 osncui: 잘못된 처리
ORA-09740 slsget: 가상 메모리 영역 통계를 얻을 수 없습니다.
ORA-09741 spwat: 포스트 대기시 오류발생
ORA-09742 sppst: 포스트 하는동안 오류발생
ORA-09743 smscre: 공유 메모리를 첨부할 수 없습니다.
ORA-09744 smsget: mmap이 오류를 리턴했습니다.
ORA-09745 smscre: vm_allocate오류, 공유 메모리를 생성할 수 없습니다.
ORA-09746 smscre: 공유 메모리에 틀린 번지가 첨부되었습니다.
ORA-09747 pw_detachPorts: pws_detach 서버콜이 실패했습니다.
ORA-09748 pws_look_up: fork 실패
ORA-09749 pws_look_up: 포트 찾기 실패
ORA-09750 pw_attachPorts: port_rename 실패
ORA-09751 pw_attachPorts: pws_attach 서버콜 실패
ORA-09752 pw_attachPorts: port_allocate 실패
ORA-09753 spwat: 유효하지 않은 프로세스 번호입니다.
ORA-09754 sppst: 부당한 프로세스 번호가 sppst에 넘겨졌습니다.
ORA-09755 osngpn: 포트 할당에 실패했습니다.
ORA-09756 osnpns: 이름 서버에 포트가 없습니다.
ORA-09757 osnipn: 포트 할당에 실패했습니다.
ORA-09758 osnipn: 이름 서버에서 포트를 확인할 수 없습니다.
ORA-09759 osnsbt: 잘못된 메시지를 수신했습니다.
ORA-09760 osnpui: 브레이크 메시지를 송신할 수 없습니다.
ORA-09761 pw_destroyPorts: pws_stop_instance 서버콜 실패
ORA-09762 sNeXT_instanceName: 변환실패
ORA-09763 osnmpx: 매치(Mach) 포트의 변경시 송신/수신 오류가 발생했습니다.
ORA-09764 osnmop: 오라클 수행 모듈의 액세스 오류입니다.
ORA-09765 osnmop: fork 실패
ORA-09766 osnmop: 버퍼 할당 실패
ORA-09767 osnmfs: msg_send로부터 잘못된 리턴코드를 받았습니다.
ORA-09768 osnmgetmsg: 메시지를 읽을 수 없습니다.
ORA-09769 osnmbr: 브레이크 메시지를 송신할 수 없습니다.
ORA-09770 pws_look_up: 변환실패
ORA-09771 osnmwrtbrkmsg: msg_send의 리턴코드가 잘못되었습니다.
ORA-09772 osnpmetbrkmsg: 호스트로부터의 메시지가 잘못된 메시지 유형입니다.
ORA-09773 osnmgetdatmsg: 호스트로부터의 메시지가 잘못된 메시지 유형입니다.
ORA-09774 osnmui: 브레이크 메시지를 송신할 수 없습니다.
ORA-09775 osnmrs: 프로토콜 재설정 오류
ORA-09776 pws_look_up: 수행모듈(Oracle helper)의 액세스 오류
ORA-09777 osnpbr: 브레이크 메시지를 보낼 수 없습니다.
ORA-09778 snynfyport: notify 포트의 할당에 실패했습니다.
ORA-09779 snyGetPort: 포트의 할당에 실패했습니다.
ORA-09780 sfifi: 변환오류, 인스턴스명을 확장할 수 없습니다.
ORA-09781 sfifi: 콘트롤 화일에 잘못된 인스턴스명이 저장되어 있습니다.
ORA-09782 sfifi: 다른 인스턴스가 동일한 데이타베이스로 마운트되었습니다.
ORA-09783 sfifi: 다른 인스턴스가 동일한 데이타베이스로 마운트되었는지 판단할 수 없습니다.
ORA-09784 sfifi: lseek 오류, 화일의 시작위치를 찾을 수 없습니다.
ORA-09785 sfifi: write 오류, 헤더블록을 기록할 수 없습니다.
ORA-09786 sllfop: open 오류, 화일을 열 수 없습니다.
ORA-09787 sllfop: 인식할 수 없는 처리 옵션, 잘못된 형식입니다.
ORA-09788 sllfrb: 화일을 읽을 수 없습니다.
ORA-09789 sllfsk: 화일을 읽을 수 없습니다.
ORA-09790 sllfcf: 화일을 닫을 수 없습니다.
ORA-09791 slembdf: 변환 오류, 오류 화일명을 변환할 수 없습니다.
ORA-09792 sllfop: 읽기용의 버퍼를 할당할 수 없습니다.
ORA-09793 szguns: 사용자명의 길이가 버퍼보다 큽니다.
ORA-09794 szrbuild: 롤명의 길이가 버퍼보다 큽니다.
ORA-09795 szrbuild: 롤 구조의 malloc에 실패했습니다.
ORA-09796 szrbuild: 롤명의 malloc에 실패했습니다.
ORA-09797 O/S MAC 권한의 확보에 실패했습니다.
ORA-09798 레이블 비교에 실패했습니다.
ORA-09799 화일 레이블의 조회에 실패했습니다.
ORA-09800 프로세스 민감도 레이블 검색에 실패했습니다.
ORA-09801 연결 상태로 부터 사용자 번호를 가지고 올 수 없습니다.
ORA-09802 이진 레이블을 스트링으로 변환하는것데 실패했습니다.
ORA-09803 스트링 버퍼의 할당에 실패.
ORA-09804 이진수에서 ORACLE 로의 클래스 변환은 지원하지 않습니다.
ORA-09805 카테고리 수에서 스트링으로의 변환은 지원하지 않습니다.
ORA-09806 클래스 스트링 버퍼의 할당에 실패했습니다.
ORA-09807 스트링에서 이진수로 레이블 변환이 실패했습니다.
ORA-09808 사용자 허가를 얻을 수 없습니다.
ORA-09809 연결 상태로부터 사용자 그룹 ID를 가지고 올 수 없습니다.
ORA-09810 연결 상태로 부터 프로세스 ID를 가지고 올 수 없습니다.
ORA-09811 패키지를 초기화할 수 없습니다.
ORA-09812 연결 상태로부터 사용자 해제 정보를 가져올 수 없습니다.
ORA-09813 디렉토리 상태를 가지고 올 수 없습니다.
ORA-09814 화일 이름을 확장할 수 없습니다.
ORA-09815 화일 이름 버퍼 오버플로우
ORA-09816 유효한 권한을 지정할 수 없습니다.
ORA-09817 감사 화일에다 기록하는것이 실패했습니다.
ORA-09818 수치가 너무 큽니다.
ORA-09819 수치가 적법한 최대치를 초과합니다.
ORA-09820 클래스 스트링에서 수치표현으로의 변환에 실패했습니다.
ORA-09821 범주 스트링의 해석에 실패했습니다.
ORA-09822 감사 화일 이름을 변역하는데 실패했습니다.
ORA-09823 디바이스명이 너무 깁니다.
ORA-09824 allowmacaccess 권한을 가용화할 수 없습니다.
ORA-09825 allowmacaccess 권한을 사용불가하게 할 수 없습니다.
ORA-09826 SCLIN: atomic 래치를 초기화할 수 없습니다.
ORA-09827 SCLGT: atomic 래치가 불명의 오류를 리턴했습니다.
ORA-09828 SCLFR: atomic 래치가 오류를 리턴했습니다.
ORA-09829 pw_createPorts: pws_start_instance 서버 콜이 실패했습니다.
ORA-09830 snyAddPort: 원격 프로시저 호출의 수행 실패.
ORA-09831 snyStartThread: 서버 포트 설정 실패.
ORA-09832 infoCallback: 잘못된 메시지 유형.
ORA-09833 addCallback: 잘못된 메시지 유형.
ORA-09834 snyGetPortSet: 포트에 대한 정보를 모을 수 없습니다.
ORA-09835 addCallback: callback 포트가 이미 세트내에 있습니다.
ORA-09836 addCallback: callback 세트에 포트를 추가할 수 없습니다.
ORA-09837 addCallback: callback 링크의 할당을 추가할 수 없습니다.
ORA-09838 removeCallback: callback 포트의 제거에 실패했습니다.
ORA-09839 removeCallback: callback 포트가 콜백 세트내에 없습니다.
ORA-09840 soacon: 이름 변환 실패
ORA-09841 soacon: 이름 변환 실패
ORA-09842 soacon: Archmon이 named 파이프를 생성할 수 없습니다.
ORA-09843 soacon: Archmon이 named 파이프를 생성할 수 없습니다.
ORA-09844 soacon: Archmon이 named 파이프를 열 수 없습니다.
ORA-09845 soacon: Archmon이 named 파이프를 열 수 없습니다.
ORA-09846 soacon: ARCH이 named 파이프를 열 수 없습니다.
ORA-09847 soacon: ARCH이 named 파이프를 열 수 없습니다.
ORA-09848 soawrt: named 파이프에 기록할 수 없습니다.
ORA-09849 soarcv: named 파이프에서 읽을 수 없습니다.
ORA-09850 soacon: Archmon이 named 파이프를 잠금할 수 없습니다.
ORA-09851 soacon: Archmon이 named 파이프를 잠금할 수 없습니다.
ORA-09852 sfgcwd: 현 디렉토리의 이름을 얻을 수 없습니다.
ORA-09853 snyRemovePort: 요구로부터 잘못된 리턴코드가 발생했습니다.
ORA-09854 snyPortInfo: 요구로부터 잘못된 리턴코드가 발생했습니다.
ORA-09855 removeCallback: 잘못된 메시지 형식
ORA-09856 smpalo: pga 할당중 vm_allocate 오류
ORA-09857 smprset: pga 프로텍트중 vm_protect 오류
ORA-09870 spini: 최대 개방 화일수의 초기화에 실패했습니다.
ORA-09871 TASDEF_NAME: ?/dbs/tasdef@.dbf의 확장시 변환오류 발생
ORA-09872 TASDEF_CREATE: ?/dbs/tasdef@.dbf의 생성시 실패
ORA-09873 TASDEF_OPEN: tasdef@.dbf 화일의 열기 오류
ORA-09874 TASDEF_READ: tasdef@.dbf 화일을 읽을 수 없습니다.
ORA-09875 TASDEF_WRITE: ?/dbs/tasdef@.dbf 화일의 기록오류
ORA-09876 TASDEF_CLOSE: ?/dbs/tasdef@.dbf 화일을 닫을 수 없습니다.
ORA-09877 sstascre: shmget 오류, 공유메모리 세그먼트를 얻을 수 없습니다.
ORA-09878 sstascre/sstasat: shmat오류, tas 기록 페이지를 첨부할 수 없습니다.
ORA-09879 sstascre/sstasat: shmat오류, tas 읽기 페이지를 첨부할 수 없습니다.
ORA-09880 sstasfre/sstasdel: shmat오류, tas 기록 페이지를 분리할 수 없습니다.
ORA-09881 sstasfre/sstasdel: shmat오류, tas 읽기 페이지를 분리할 수 없습니다.
ORA-09882 sstasfre/sstasdel: shmat오류, tas shm 페이지를 분리할 수 없습니다.
ORA-09883 Two Task interface: /etc/oratab이 존재하지 않습니다.
ORA-09884 Two Task interface: SID가 현재 PU와 일치하지 않습니다.
ORA-09885 osnTXtt: TXIPC 채널을 생성할 수 없습니다.
ORA-09886 osnTXtt: txipc@.trc를 확장하는데 변환오류가 발생했습니다.
ORA-09887 osnTXtt: 디버그 채널의 생성/열기에 실패했습니다.
ORA-09888 osnTXtt: txipc 채널의 생성 실패
ORA-09889 osnTXtt: 오라클 수행모듈의 액세스 오류
ORA-09890 osnTXtt: malloc실패
ORA-09894 sfwrt: 비동기 기록을 초기화할 수 없습니다.
ORA-09895 sfaswr: 함수가 잘못된 인수로 요구되었습니다.
ORA-09896 sfaswr: 유효하지 않은 블록번호
ORA-09897 sfaswr: 기록오류, 데이타베이스 블록을 기록할 수 없습니다.
ORA-09898 sfalck: setitimer오류, 인터벌 타이머를 지정할 수 없습니다.
ORA-09899 sfapol: 쓰기오류, 비동기 기록을 폴할 수 없습니다.
ORA-09900 sfapol: 쓰기오류, 비동기 기록을 폴할 수 없습니다.
ORA-09901 sfapol: 쓰기오류, 데이타베이스 블록을 기록할 수 없습니다.
ORA-09902 sfapol: 틀린 바이트 수로 쓰기에 리턴됐습니다.
ORA-09903 sfwrt: 내부 오류
ORA-09904 sfotf: 임시화일 디렉토리명이 너무 깁니다.
ORA-09905 sfotf: mktemp() 실패
ORA-09906 sfotf: 임시 정열 화일을 여는데 실패
ORA-09907 sfotf: 임시 정열 화일을 링크해제 하는데 실패
ORA-09908 spwat: gethostname이 오류를 리턴했습니다.
ORA-09909 스크래치 버퍼를 malloc하는데 실패했습니다.
ORA-09910 사용자에 대한 ORACLE의 암호 화일 엔트리를 찾을 수 없습니다.
ORA-09911 사용자 암호가 틀립니다.
ORA-09912 이름버퍼를 malloc 하는데 실패했습니다.
ORA-09913 더미이름을 malloc 하는데 실패했습니다.
ORA-09914 ORACLE 암호 화일을 열 수 없습니다.
ORA-09915 암호의 암호화에 실패했습니다.
ORA-09916 요구된 암호가 지정되지 않았습니다.
ORA-09917 시스템 그룹화일에 DBA 그룹이 존재하지 않습니다.
ORA-09918 SQL*Net으로부터 사용자 권한을 얻을 수 없습니다.
ORA-09919 전용 서버의 레이블을 지정할 수 없습니다.
ORA-09920 연결 상태에서 민감도 레이블을 얻을 수 없습니다.
ORA-09921 연결 상태에서 정보 레이블을 얻을 수 없습니다.
ORA-09922 프로세스를 띄울 수 없음 - 백그라운드 로그 디렉토리가 적절히 생성되지 않았습니다.
ORA-09923 프로세스를 띄울 수 없음 - 사용자 로그 디렉토리가 적절히 생성되지 않았습니다.
ORA-09924 프로세스를 띄울 수 없음 - 코아 덤프 디렉토리가 적절히 생성되지 않았습니다.
ORA-09925 감사 추적 화일을 생성할 수 없습니다.
ORA-09926 서버의 유효한 권한 세트를  설정할 수 없습니다.
ORA-09927 서버의 레이블을 지정할 수 없습니다.
ORA-09928 서버의 레이블을 복원할 수 없습니다.
ORA-09929 2개 레이블의 GLB는 허용되지 않습니다.
ORA-09930 2개 레이블의 LUB는 허용되지 않습니다.
ORA-09931 ORACLE 암호 화일을 읽기용으로 열 수 없습니다.
ORA-09932 ORACLE 암호 화일을 닫는데 실패했습니다.
ORA-09933 구 암호 화일의 삭제에 실패했습니다.
ORA-09934 현재 암호 화일을 구 암호 화일로 링크하는데 실패했습니다.
ORA-09935 현재 암호 화일을  링크해제하는데 실패했습니다.
ORA-09936 ORACLE 암호 화일을 쓰기용으로 여는데 실패했습니다.
ORA-09937 ORACLE 암호 화일의 모드를 바꾸는데(chmod) 실패했습니다.
ORA-09938 신호 처리기를 저장하는데 실패했습니다.
ORA-09939 신호 처리기를 재 저장하는데 실패했습니다.
ORA-09940 ORACLE 암호 화일 헤더가 손상되었습니다.
ORA-09941 화일보다 orapasswd 또는 installer가 더 오래된 버전입니다.
ORA-09942 ORACLE 암호 화일 헤더의 기록에 실패했습니다.
ORA-09943 암호 리스트 요소를 위한 메모리 할당에 실패했습니다.
ORA-09944 암호 항목이 손상되었습니다.
ORA-09945 감사 추적 화일을 초기화할 수 없습니다.
ORA-09946 버퍼에 비해 화일 이름이 너무 깁니다.
ORA-09947 연결 속성 구조에 메모리를 할당 할 수 없습니다.
ORA-09948 프로세스 정보 레이블 조회에 실패했습니다.
ORA-09949 클라이언트 운영 시스템 권한을 얻을 수 없습니다.
ORA-09950 서버 운영 시스템 권한을 얻을 수 없습니다.
ORA-09951 화일을 생성할 수 없습니다.
ORA-09952 scgcmn: lk_open_convert의 예상치 못한 리턴: 열기 실패
ORA-09953 scggc: 잠금 변환중의 예상치 못한 리턴
ORA-09954 scgcc: 잠금 닫기 콜백에 대한 예기치 않은 리턴 상태
ORA-09955 scgcan:  잠금 취소시의 예기치 않은 리턴 상태
ORA-09956 scgcm:  예기치 않은 잠금 상태 조건
ORA-09957 IMON에게 종료 요구을 보낼 수 없습니다.
ORA-09958 IMON: 같은 ORACLE pid를 가진 두개의 프로세스가 활동합니다.
ORA-09959 IMON: 프로세스 삭제에 실패했습니다.
ORA-09960 종료 신호를 위한 신호 처리기를 설치할 수 없습니다.
ORA-09961 종료 신호 처리기를 재저장할 수 없습니다.
ORA-09962 scggrc에 lk_group_create 오류가 있습니다.
ORA-09963 scggra에 lk_group_attach 오류가 있습니다.
ORA-09964 scggrd에 lk_group_detach 오류가 있습니다.
ORA-09965 sfsfs: 부적당한 화일 크기
ORA-09966 sfsfs: 읽기/쓰기 모드로 화일을 열 수 없습니다.
ORA-09967 sfsfs: 화일을 더 크게 할 수 없습니다.
ORA-09968 sfsfs: 화일의 시작을 찾을 수 없습니다.
ORA-09969 sfsfs, sfrfs: malloc 오류, 버퍼를 할당할 수 없습니다.
ORA-09970 sfsfs: 읽기 오류, 헤더 블록을 읽을 수 없습니다.
ORA-09971 sfsfs: 쓰기 오류, 헤더 블록에 쓸 수 없습니다.
ORA-09972 sfsfs: 화일을 더 작게 할 수 없습니다.
ORA-09973 sfsfs: 닫기 오류
ORA-09974 skxfidini: SDI 채널을 초기화 하는데 오류
ORA-09975 kxfspini: SDI 프로세스를 초기화 하는데 오류
ORA-09976 skxfqdini: 포트를 만드는데 오류
ORA-09977 skxfqhini: 연결 오류
ORA-09978 skxfqhdel: 다른 끝점에서 연결분리시 오류
ORA-09979 skxfqhsnd: 다른 끝점으로 메시지를 송신하는데 오류
ORA-09980 skxfqdrcv: 다른 끝점으로 메시지를 수신하는데 오류
ORA-09981 skxfqdreg: SDI 버퍼 폴에 페이지를 추가하는데 오류
ORA-09982 skxfqddrg: SDI 버퍼 폴로 부터 페이지를 삭제하는데 오류
ORA-09983 skxfidsht: SDI 채널을 기동 종료하는데 오류
ORA-09984 SGA 화일 $ORACLE_HOME/dbs/sgadef$ORACLE_SID.dbf가 존재하지 않습니다.
ORA-09985 SGA 정의 화일을 읽을 수 없습니다.
ORA-09986 SGA 정의 화일로 부터 잘못된 바이트의 수가 읽혔습니다.
ORA-09987 READ-ONLY 모드에서 SGA로 첨부할 수 없습니다.
ORA-09988 SGA을 분리하는데 오류
ORA-09989 부적당한 skgmsdef 구조 포인터를 사용할려고 시도합니다.
ORA-10000 control file debug event, name control_file
ORA-10001 control file crash event1
ORA-10002 control file crash event2
ORA-10003 control file crash event3
ORA-10004 control file crash event4
ORA-10005 trace latch operations for debugging
ORA-10006 testing - block recovery forced
ORA-10007 log switch debug crash after new log select, thread %s
ORA-10008 log switch debug crash after new log header write, thread %s
ORA-10009 log switch debug crash after old log header write, thread %s
ORA-10010 Begin Transaction
ORA-10011 End   Transaction
ORA-10012 Abort Transaction
ORA-10013 Instance Recovery
ORA-10014 Roll Back to Save Point
ORA-10015 Undo Segment Recovery
ORA-10016 Undo Segment extend
ORA-10017 Undo Segment Wrap
ORA-10018 Data Segment Create
ORA-10019 Data Segment Recovery
ORA-10020 partial link restored to linked list (KSG)
ORA-10021 latch cleanup for state objects (KSS)
ORA-10022 trace ktsgsp
ORA-10023 Create Save Undo Segment
ORA-10024 Write to Save Undo
ORA-10025 Extend Save Undo Segment
ORA-10026 Apply Save Undo
ORA-10027 latch cleanup for enqueue locks (KSQ)
ORA-10028 latch cleanup for enqueue resources (KSQ)
ORA-10029 session logon (KSU)
ORA-10030 session logoff (KSU)
ORA-10031 row source debug event (R*)
ORA-10032 sort end (SOR*)
ORA-10033 sort run (SRD*/SRS*)
ORA-10035 parse SQL statement (OPIPRS)
ORA-10036 create remote row source (QKANET)
ORA-10037 allocate remote row source (QKARWS)
ORA-10038 dump row source tree (QBADRV)
ORA-10039 type checking (OPITCA)
ORA-10040 dirty cache list
ORA-10041 dump undo records skipped
ORA-10042 trap error during undo application
ORA-10043 check consistency of owner/waiter/converter lists in KSQ
ORA-10044 free list undo operations
ORA-10045 free list update operations - ktsrsp, ktsunl
ORA-10046 enable SQL statement timing
ORA-10047 trace switching of sessions
ORA-10048 Undo segment shrink
ORA-10049 protect library cache memory heaps
ORA-10050 sniper trace
ORA-10051 trace OPI calls
ORA-10052 dont clean up obj$
ORA-10053 CBO Enable optimizer trace
ORA-10054 trace UNDO handling in MLS
ORA-10055 trace UNDO handing
ORA-10056 dump analyze stats (kdg)
ORA-10057 suppress file names in error messages
ORA-10058 use table scan cost in tab$.spare1
ORA-10059 simulate error in logfile create/clear
ORA-10060 CBO Enable predicate dump
ORA-10061 disable SMON from cleaning temp segment
ORA-10062 disable usage of OS Roles in osds
ORA-10063 disable usage of DBA and OPER privileges in osds
ORA-10064 thread enable debug crash level %s, thread %s
ORA-10065 limit library cache dump information for state object dump
ORA-10066 simulate failure to verify file
ORA-10067 force redo log checksum errors - block number
ORA-10068 force redo log checksum errors - file number
ORA-10069 Trusted Oracle 테스트 이벤트
ORA-10070 force datafile checksum errors - block number
ORA-10071 force datafile checksum errors - file number
ORA-10072 protect latch recovery memory
ORA-10073 have PMON dump info before latch cleanup
ORA-10074 default trace function mask for kst
ORA-10075 CBO Disable outer-join to regular join conversion
ORA-10076 CBO Enable cartesian product join costing
ORA-10077 CBO Disable view-merging optimization for outer-joins
ORA-10078 CBO Disable constant predicate elimination optimization
ORA-10079 SQL*Net을 거쳐 송신/수신된 데이터를 트래스합니다.
ORA-10080 dump a block on a segment list which cannot be exchanged
ORA-10081 segment High Water Mark has been advanced
ORA-10082 free list head block is the same as the last block
ORA-10083 a brand new block has been requested from space management
ORA-10084 free list becomes empty
ORA-10085 free lists have been merged
ORA-10086 oby 소트에서 kko와 qka가 다르면 사용가능한 CBO에 오류가 생깁니다.
ORA-10087 손상한 데이터 블록 매체를 회복할 수 없습니다.
ORA-10088 CBO Disable new NOT IN optimization
ORA-10089 CBO Disable index sorting
ORA-10090 복구가 충돌하기 전에 다른 이벤트를 부릅니다.
ORA-10091 CBO Disable constant predicate merging
ORA-10092 CBO Disable hash join
ORA-10093 CBO Enable force hash joins
ORA-10094 before resizing a data file
ORA-10095 dump debugger commands to trace file
ORA-10096 after the cross instance call when resizing a data file
ORA-10097 after generating redo when resizing a data file
ORA-10098 데이터 화일의 크기를 OS가 증가시킨 후에
ORA-10099 새로운 화일 크기로 화일 헤더가 수정 후에
ORA-10100 데이터 화일의 크기를 OS가 축소 후에
ORA-10101 atomic redo write recovery
ORA-10102 anti-joins을 스위치 오프합니다.
ORA-10103 CBO가 해쉬 결합 교체를 사용불가합니다.
ORA-10104 해쉬 결합 통계를 덤프한 것을 트래스 화일로 보냅니다.
ORA-10105 CBO가 일정한 pred trans와 MPs w WHERE-절을 사용가능하게 합니다.
ORA-10106 CBO가 NOT IN에 대한 나중에 서술한 상호관계을 구하는것을 사용할 수 없습니다.
ORA-10107 CBO은 항상 비트맵 색인을 사용합니다.
ORA-10108 CBO은 비트맵 색인을 사용하지 않습니다.
ORA-10109 CBO가 부정 술어를 옮기는데 사용불가합니다.
ORA-10110 CBO가 색인 행ID 범위 스캔을 시도합니다.
ORA-10111 비트맵 색인 생성 스위치입니다.
ORA-10112 비트맵 색인 생성 스위치입니다.
ORA-10113 비트맵 색인 생성 스위치입니다.
ORA-10114 비트맵 색인 생성 스위치입니다.
ORA-10115 CBO 비트맵 최적화는 최고 표현을 사용했습니다.
ORA-10116 CBO 비트맵 최적화 스위치입니다.
ORA-10117 CBO가 새로운 병렬 비용 모형을 사용불가합니다 
ORA-10118 CBO가 해쉬 결합 비용을 사용가능하게 합니다 
ORA-10145 네트워크 오류를 감사하는 것을 테스트
ORA-10146 오라클 TRACE 수집을 사용가능하게 합니다.
ORA-10200 block cleanout
ORA-10201 consistent read undo application
ORA-10202 consistent read block header
ORA-10203 consistent read buffer status
ORA-10204 signal recursive extend
ORA-10205 row cache debugging
ORA-10206 transaction table consistent read
ORA-10207 consistent read transactions status report
ORA-10208 consistent read loop check
ORA-10209 enable simulated error on control file
ORA-10210 check data block integrity
ORA-10211 check index block integrity
ORA-10212 check cluster integrity
ORA-10213 crash after control file write
ORA-10214 simulate write errors on control file
ORA-10215 simulate read errors on control file
ORA-10216 dump control file header
ORA-10217 debug sequence numbers
ORA-10218 dump uba of applied undo
ORA-10219 monitor multi-pass row locking
ORA-10220 show updates to the transaction table
ORA-10221 show changes done with undo
ORA-10222 row cache
ORA-10223 transaction layer - turn on verification codes
ORA-10224 index block split/delete trace
ORA-10225 free/used extent row cache
ORA-10226 trace CR applications of undo for data operations
ORA-10227 verify (multi-piece) row structure
ORA-10228 trace application of redo by kcocbk
ORA-10229 simulate I/O error against datafiles
ORA-10230 check redo generation by copying before applying
ORA-10231 skip corrupted blocks on _table_scans_
ORA-10232 dump corrupted blocks symbolically when kcbgotten
ORA-10233 색인 작업에서 손상된 블록을 건너 뜁니다.
ORA-10234 trigger event after calling kcrapc to do redo N times
ORA-10235 check memory manager internal structures
ORA-10236 library cache manager
ORA-10237 simulate ^C (for testing purposes)
ORA-10238 instantiation manager
ORA-10239 multi-instance library cache manager
ORA-10240 dump dba^s of blocks that we wait for
ORA-10241 dump SQL generated for remote execution (OPIX)
ORA-10242 suppress OER 2063 (for testing distrib w/o different error log)
ORA-10243 simulated error for test %s of K2GTAB latch cleanup
ORA-10244 make tranids in error msgs print as 0.0.0 (for testing)
ORA-10245 simulate lock conflict error for testing PMON
ORA-10246 print trace of PMON actions to trace file
ORA-10247 Turn on scgcmn tracing. (VMS ONLY)
ORA-10248 turn on tracing for dispatchers
ORA-10249 turn on tracing for multi-stated servers
ORA-10250 Trace all allocate and free calls to the topmost SGA heap
ORA-10251 check consistency of transaction table and undo block
ORA-10252 simulate write error to data file header
ORA-10253 simulate write error to redo log
ORA-10254 trace cross-instance calls
ORA-10255 pl/sql parse checking
ORA-10256 turn off multi-threaded server load balancing
ORA-10257 trace multi-threaded server load balancing
ORA-10258 force shared servers to be chosen round-robin
ORA-10259 get error message text from remote using explicit call
ORA-10260 Trace calls to SMPRSET (VMS ONLY)
ORA-10261 Limit the size of the PGA heap
ORA-10262 Don^t check for memory leaks
ORA-10263 Don^t free empty PGA heap extents
ORA-10264 Collect statistics on context area usage (x$ksmcx)
ORA-10265 Keep random system generated output out of error messages
ORA-10266 Trace OSD stack usage
ORA-10267 Inhibit KSEDMP for testing
ORA-10268 Don  do forward coalesce when deleting extents
ORA-10269 Don  do coalesces of free space in SMON
ORA-10270 Debug shared cursors
ORA-10271 distributed transaction after COLLECT
